name,method1_irf,method2_irf,method3_irf,method4_irf,method1_srf,method2_srf,method3_srf,method4_srf,method1_ped,method2_ped,method3_ped,method4_ped,method1_mean,method2_mean,method3_mean,method4_mean
TRAIN001_Cirrus_079,0.30792227204783257,0.3631336405529954,0.38509316770186336,0.39881539980256664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7693074240159442,0.7877112135176652,0.7950310559006212,0.7996051332675221
TRAIN001_Cirrus_080,0.5782608695652174,0.6108433734939759,0.6173861620342992,0.671565025716385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8594202898550725,0.8702811244979919,0.8724620540114331,0.8905216752387949
TRAIN001_Cirrus_081,0.47247990105132964,0.4975609756097561,0.4898236092265943,0.5637795275590551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8241599670171098,0.832520325203252,0.8299412030755314,0.8545931758530184
TRAIN001_Cirrus_082,0.6365537432036805,0.646870717222476,0.6348773841961853,0.6120384420839656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8788512477345601,0.8822902390741586,0.8782924613987285,0.8706794806946552
TRAIN001_Cirrus_083,0.7409935532802427,0.7243539545810493,0.7163009404388715,0.7336244541484717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9136645177600808,0.9081179848603499,0.9054336468129572,0.9112081513828238
TRAIN001_Cirrus_084,0.8059484947406601,0.7737779461917393,0.7553516819571865,0.8036460311431827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9353161649135533,0.9245926487305797,0.9184505606523955,0.9345486770477276
TRAIN001_Cirrus_085,0.8,0.7983581323755772,0.8088159917990774,0.8292433537832311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,0.9327860441251924,0.9362719972663592,0.9430811179277437
TRAIN001_Cirrus_086,0.8090185676392573,0.7938625750500333,0.7817327065144393,0.7867986798679868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363395225464192,0.9312875250166778,0.927244235504813,0.9289328932893289
TRAIN001_Cirrus_087,0.6532410320956576,0.6629422718808193,0.6687461010605116,0.6877323420074349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8844136773652193,0.8876474239602731,0.8895820336868372,0.895910780669145
TRAIN001_Cirrus_088,0.6967015285599356,0.6945126945126945,0.6859504132231405,0.6753036437246963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8989005095199785,0.8981708981708981,0.8953168044077136,0.8917678812415654
TRAIN001_Cirrus_089,0.6613545816733067,0.7141041931385006,0.7675544794188862,0.8014268727705113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8871181938911022,0.9047013977128335,0.9225181598062955,0.9338089575901704
TRAIN001_Cirrus_090,0.718562874251497,0.7529411764705882,0.7710011507479861,0.7639680729760547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906187624750499,0.9176470588235294,0.9236670502493287,0.9213226909920182
TRAIN001_Cirrus_091,0.5833333333333334,0.599250936329588,0.6096654275092936,0.692063492063492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8611111111111112,0.8664169787765293,0.8698884758364311,0.8973544973544975
